"class","variable","glm_coef","glm_pval","ridge_coef","lasso_coef","elastic_coef","glm_selected","ridge_selected","lasso_selected","elastic_selected","Boruta"
"2","(Intercept)",-0.873174389389521,0.652711402964125,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"3","(Intercept)",-0.818301737150978,0.704737334550203,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"4","(Intercept)",-0.122327234829741,0.952216817053896,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"1","ADHD",NA,NA,-0.275928947569365,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","ADHD",-4.17012998404469,0,-0.23836907782852,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","ADHD",14.8508911904001,0,0.724670728794267,0,0.612609256468553,TRUE,TRUE,FALSE,TRUE,"Rejected"
"4","ADHD",-2.403216853222,0,-0.210372703396382,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Achalasia",NA,NA,-0.162573613326062,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Achalasia",3.99975180227984,0,0.476492080566055,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Achalasia",-0.27758729371514,0,-0.126237848299598,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Achalasia",-1.63674574266256,0,-0.187680618940395,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Acoustic.trauma",NA,NA,-0.258381528566474,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Acoustic.trauma",12.9711021543205,0,0.736589531173696,0,0.38958144445581,TRUE,TRUE,FALSE,TRUE,"Rejected"
"3","Acoustic.trauma",-4.84073560367436,0,-0.269178341216654,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Acoustic.trauma",-3.77494718034302,0,-0.209029661390568,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Adenotomy",NA,NA,0.00224630595314421,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Adenotomy",0.378513665600376,0.531337885328726,-0.0124379895506644,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"3","Adenotomy",-0.0727956302599124,0.901024592695301,0.025491072669885,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"4","Adenotomy",0.082186663068825,0.886894889099981,-0.0152993890723648,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"1","Age",NA,NA,-0.000195748762333985,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Age",0.00605612412221249,0.470095269458605,0.00149859413866391,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"3","Age",-0.00187514843269091,0.818612137746612,0.000863679547956997,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"4","Age",-0.00843557629279396,0.287100319656027,-0.00216652492428692,-0.00546576539882644,-0.00669594904388029,FALSE,FALSE,TRUE,TRUE,"Rejected"
"1","Allergic.asthma",NA,NA,0.378409293004271,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Allergic.asthma",1.3319099746028,4.5986819974253e-07,0.107681853675077,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Allergic.asthma",-10.7786979690836,0,-0.262127797144581,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Allergic.asthma",-12.2136319228588,0,-0.223963349534767,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Allergic.problems",NA,NA,-0.0480025426793771,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Allergic.problems",-1.02625845640947,0.141037646670644,0.0436303801272337,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"3","Allergic.problems",-0.559652770813511,0.400498066828923,0.0269115853341497,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"4","Allergic.problems",-0.976267607364434,0.143358776890276,-0.0225394227820063,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"1","Allergic.rhinitis..hay.fever.",NA,NA,0.755511532242801,0.278283852930435,1.24661539543656,FALSE,TRUE,TRUE,TRUE,"Rejected"
"2","Allergic.rhinitis..hay.fever.",-13.401885039637,0,-0.284091005197973,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Allergic.rhinitis..hay.fever.",-12.7903294062168,0,-0.234996015321302,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Allergic.rhinitis..hay.fever.",-12.2491855952738,0,-0.236424511723526,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Ankylosing.spondylitis",NA,NA,-0.224331686066911,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Ankylosing.spondylitis",-3.15253446187553,0,-0.251301348253473,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Ankylosing.spondylitis",-6.73922633157079,0,-0.307625298029267,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Ankylosing.spondylitis",12.503059093244,0,0.783258332349651,0,0.851808966039727,TRUE,TRUE,FALSE,TRUE,"Rejected"
"1","Arterial.hypertension",NA,NA,-0.24530434213218,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Arterial.hypertension",-2.39474004582213,0,-0.227403974502206,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Arterial.hypertension",12.5417924381464,0,0.733672538267481,0,0.706595103803936,TRUE,TRUE,FALSE,TRUE,"Rejected"
"4","Arterial.hypertension",-3.70686483115084,0,-0.260964221633096,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Arteriosclerosis",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Arteriosclerosis",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"3","Arteriosclerosis",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"4","Arteriosclerosis",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"1","Asperger.s.syndrome",NA,NA,-0.269966192120589,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Asperger.s.syndrome",13.8673263582652,0,0.730527887213499,0,0.813558060174546,TRUE,TRUE,FALSE,TRUE,"Rejected"
"3","Asperger.s.syndrome",-0.439579154453501,0,-0.180014980587502,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Asperger.s.syndrome",-4.53600826879097,0,-0.280546714505408,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Asthma",NA,NA,-0.224846105172694,0,-0.139871280563348,FALSE,TRUE,FALSE,TRUE,"Rejected"
"2","Asthma",11.1891011527638,0,0.134354672279024,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Asthma",10.9900259463057,0,0.0626343982178357,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Asthma",11.7234103996622,0,0.0278570346758344,0,0,TRUE,FALSE,FALSE,FALSE,"Rejected"
"1","Asthma.with.hay.fever",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Asthma.with.hay.fever",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"3","Asthma.with.hay.fever",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"4","Asthma.with.hay.fever",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
